Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0 to 5 cm Depth Average Temp (°C),0 to 5 cm Depth Average WFV (%)
01/08/2019,78,23.6,31.6,14.3,0,SSE,5.8,14.6,0,25.5,10.1
02/08/2019,71,25,34.6,14.2,0,SSE,4.2,15.6,0,27,9.8
03/08/2019,75,25.1,33.3,15.3,0,S,9.9,25.9,0,27.2,9.2
04/08/2019,69,23.9,30.9,14.1,0,WSW,10.5,29.1,0,26.8,8.9
05/08/2019,71,20,27.5,12.1,0,W,8.5,27.7,0,23.9,8.4
06/08/2019,76,20.2,28.2,11.4,0,W,8.5,30.7,0,22.1,8.1
07/08/2019,68,17.6,22.4,10.9,0,WNW,12.3,35.1,0,21.4,8.1
08/08/2019,69,16.3,24.8,8.9,0,WNW,10.7,28.2,0,20.9,7.9
09/08/2019,65,18.8,28.6,7,0,SSW,5.1,18,0,22.3,7.7
10/08/2019,93,17.7,22.8,13.1,0,W,8.5,26.3,0,20.4,7.5
11/08/2019,68,17.2,24.1,9.2,0,S,6,19.1,0,21.1,7.6
12/08/2019,83,15.3,20.6,7.7,9.8,SSE,4.5,21.1,0,16.7,10.5
13/08/2019,80,17.2,24.5,9.9,3,SSE,6.3,17.6,0,17.9,19.6
14/08/2019,75,17.1,25.7,8.1,0,SW,8.8,25.3,0.1,17.4,17.7
15/08/2019,76,19.1,27,11.8,0,WSW,7.8,20.3,0,20.3,16.4
16/08/2019,69,21,30,12.2,0,SW,8.6,22.9,1,22,15.7
17/08/2019,75,17.2,20.8,8.9,0,WSW,11.3,23.9,1.2,18.9,14.7
18/08/2019,63,16.1,23.9,5.9,0,WSW,13.4,36.7,3,18.2,14.2
19/08/2019,60,19.2,27.6,11,1.4,SW,7.4,27.3,0,21.4,13.6
20/08/2019,71,16.8,23,10,0,W,10.7,26.6,0,19.6,13
21/08/2019,74,14.4,20.7,7.7,0,NW,9.7,26.7,0.9,17.3,12.6
22/08/2019,71,15.5,25.5,3.9,0,SSE,5.7,20.6,0,18,12.3
23/08/2019,69,18.8,28,8.7,0,SSE,13,35.9,0.1,20.6,11.8
24/08/2019,70,23.1,31.1,17.2,0,SSE,23.4,48.8,4.8,24,11.4
25/08/2019,92,19.2,22.3,16.6,13.6,SSE,17.3,37.9,0.4,20.1,15
26/08/2019,95,17.2,22.6,12.3,4,W,9.4,27,0,18.4,22.9
27/08/2019,88,12.9,14,11.5,1.8,WNW,18.5,40.5,5.9,13.4,23.2
28/08/2019,74,15.3,21.5,8,0.8,W,14.9,30.2,5.1,15.2,20.6
29/08/2019,69,14.7,20.6,8.4,0,WNW,15.3,35.4,2.3,15.9,19
30/08/2019,70,14.1,22.4,6.3,0,SW,7.2,20,0,16.6,17.3
31/08/2019,88,15.2,23,10.9,9,SSE,6.8,23.6,0,15.8,21.8
01/09/2019,85,16.9,22.2,9.4,10.4,SW,9.1,23.6,0,18,25.9
02/09/2019,89,11.8,17.3,5,2,SE,7,20.2,0,12.9,22.7
03/09/2019,91,12.3,16.2,6.6,0.2,WNW,11.6,28.8,0,13.4,22.4
04/09/2019,76,16.3,26.3,5.7,0,S,10.4,26,0,16.2,20.6
05/09/2019,84,17.5,23.9,12.8,2.8,SE,8.7,21.4,0,18.4,21
06/09/2019,73,16.8,22.6,11.6,0,NW,11.9,28,3.4,18.3,19.4
07/09/2019,78,10.9,16.5,6.1,0,SE,7.6,19.2,0,14,18.3
08/09/2019,75,11.4,21,0.9,0,SSE,5.2,27.9,0,14.2,17.8
